2021-12-28 18:12:22 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 18:12:796 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 18:12:75 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 18:12:383 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 18:12:562 INFO  ManageDriver :32 - Launching Chrome Browser
2021-12-28 18:12:467 INFO  HomePage :56 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (2bb22237682c8ee242a3f31a0b1b18c9)] -> xpath: //a[normalize-space()='Sign in']]
2021-12-28 18:12:542 INFO  AuthenticationPage :37 - Click on the create an account tab : [[ChromeDriver: chrome on WINDOWS (2bb22237682c8ee242a3f31a0b1b18c9)] -> xpath: //span[normalize-space()='Create an account']]<br>
2021-12-28 18:12:464 INFO  CreateAccountPage :59 - Entering firstname[[ChromeDriver: chrome on WINDOWS (2bb22237682c8ee242a3f31a0b1b18c9)] -> xpath: //input[@id='customer_firstname']]
2021-12-28 18:12:600 INFO  CreateAccountPage :61 - Entering lastname[[ChromeDriver: chrome on WINDOWS (2bb22237682c8ee242a3f31a0b1b18c9)] -> xpath: //input[@id='customer_lastname']]
2021-12-28 18:12:730 INFO  CreateAccountPage :63 - Entering password[[ChromeDriver: chrome on WINDOWS (2bb22237682c8ee242a3f31a0b1b18c9)] -> xpath: //input[@id='passwd']]
2021-12-28 18:12:897 INFO  CreateAccountPage :65 - Entering address[[ChromeDriver: chrome on WINDOWS (2bb22237682c8ee242a3f31a0b1b18c9)] -> xpath: //input[@id='address1']]
2021-12-28 18:12:191 INFO  CreateAccountPage :67 - Entering city[[ChromeDriver: chrome on WINDOWS (2bb22237682c8ee242a3f31a0b1b18c9)] -> xpath: //input[@id='city']]
2021-12-28 18:12:330 INFO  CreateAccountPage :69 - Selecting the state[[ChromeDriver: chrome on WINDOWS (2bb22237682c8ee242a3f31a0b1b18c9)] -> xpath: //select[@id='id_state']]
